DATA;NOME FUNDO;TAXA ADM;PERFIL DE INVEST.;COTA;PATRIM.
12/05/2021;FI CAIXA INDEXA BOLSA AMERICANA MM LP;0,8;Arrojado;1,453479;1.819,14
12/05/2021;FIC MULTIMERCADO MULTIGESTOR;1,5;Agressivo;1,866273;462,195
12/05/2021;FIC ESTRATEGIA LIVRE MULTIMERCADO LP;1,5;Arrojado;1.084,83;913,675
12/05/2021;FIC ESTRATEGICO MULTIMERCADO LP;1,2;Agressivo;3,463957;287,422
12/05/2021;FIC CAPITAL PROTEGIDO IBOVESPA CCLICO I MULT;1,6;Arrojado;2,449163;102,997
12/05/2021;CAIXA EXPERT GIANT ZARATHUSTRA MULT;2;Agressivo;-;-
12/05/2021;FIC FIM MULTIGESTOR GLOBAL EQUITIES IE;1;Arrojado;1.012,47;158,238
12/05/2021;CAIXA IMOB MULT FIC MM CRED PRIV;1;Agressivo;-;-
12/05/2021;FI BTG PACTUAL X10 MULT LP;2;Agressivo;4,147715;992,307
12/05/2021;FIC ALOCACAO MACRO MULTIMERCADO LP;0,5;Arrojado;3,545396;4.523,63
12/05/2021;FI JUROS E MOEDAS MULTIMERCADO LP;0,7;Arrojado;2,119126;1.152,11
12/05/2021;FIC INDEXA DOLAR CAMBIAL;0,8;Arrojado;3,27492;181,529
12/05/2021;FI ACOES VALE DO RIO DOCE;2;Arrojado;35,971393;1.320,25
12/05/2021;CAIXA FIA PETROBRAS PLUS;1,5;Arrojado;0,824994;74,674
12/05/2021;FIC ACOES IBOVESPA;2;Arrojado;6,492379;170,157
12/05/2021;FI ACOES INFRAESTRUTURA;2;Arrojado;1,887116;489,789
12/05/2021;CAIXA FIA INDEXA SETOR FINANCEIRO;0,8;Arrojado;-;-
12/05/2021;FI ACOES CONSTRUCAO CIVIL;2;Arrojado;1,55243;405,051
12/05/2021;FI ACOES IBOVESPA ATIVO;3;Agressivo;1,832934;96,71
12/05/2021;FI ACOES CONSUMO;1,6;Arrojado;2,023031;587,456
12/05/2021;FI ACOES PETROBRAS PRE-SAL;0,5;Arrojado;1,154732;64,575
